State,District,year,Murder,Attemp to Murder,Culpable Homicide not amounting to Murder,Hit and Run,Rape,Kidnapping and Abduction,Arson,Sexual Harassment,Grievous Hurt,Causing Death by Negligence,Dowry Deaths,Theft,TotalIpcCrime
Jammu & Kashmir,Budgam,2021,0,4,0,0,13,0,5,0,0,6,0,105,133
Jammu & Kashmir,Special Crime Wing Jammu,2021,0,0,0,0,17,0,0,0,0,0,0,0,17
Jammu & Kashmir,Special Crime Wing Kashmir,2021,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Doda,2021,3,1,0,0,0,35,3,0,0,4,0,20,66
Jammu & Kashmir,Ganderbal,2021,11,1,0,0,10,8,1,2,9,18,0,60,120
Jammu & Kashmir,Handwara,2021,4,0,1,14,1,15,3,0,0,14,0,69,121
Jammu & Kashmir,Jammu,2021,5,9,0,0,0,0,3,0,8,94,7,512,638
Jammu & Kashmir,Kathua,2021,1,7,1,14,53,30,2,0,5,69,3,93,278
Jammu & Kashmir,Kishtwar,2021,3,0,0,0,9,11,6,0,0,5,0,9,43
Jammu & Kashmir,Kulgam,2021,2,0,1,24,4,0,6,0,0,24,0,97,158
Jammu & Kashmir,Kupwara,2021,3,2,0,0,23,1,7,0,0,11,0,80,127
Jammu & Kashmir,Poonch,2021,0,4,2,0,18,18,8,0,11,31,0,39,131
Jammu & Kashmir,Pulwama,2021,0,6,0,0,23,10,4,0,1,9,0,72,125
Jammu & Kashmir,Railways Jammu,2021,0,0,0,0,8,0,0,0,0,0,0,3,11
Jammu & Kashmir,Railways Kashmir,2021,5,0,2,0,0,0,0,0,0,0,0,4,11
Jammu & Kashmir,Railways Katra,2021,2,1,2,0,0,0,0,0,0,0,0,3,8
Jammu & Kashmir,Rajouri,2021,1,10,2,0,0,38,18,0,2,29,2,66,168
Jammu & Kashmir,Ramban,2021,3,2,0,6,32,13,1,0,0,45,0,29,131
Jammu & Kashmir,Reasi,2021,5,7,0,28,11,24,0,0,0,30,0,56,161
Jammu & Kashmir,Samba,2021,7,0,0,88,12,26,5,0,0,88,4,106,336
Jammu & Kashmir,Shopian,2021,0,4,0,0,12,15,3,0,3,3,0,112,152
Jammu & Kashmir,Sopore,2021,5,0,1,0,5,31,3,0,0,10,0,108,163
Jammu & Kashmir,Srinagar,2021,0,13,2,0,7,54,16,12,0,34,0,378,516
Jammu & Kashmir,Udhampur,2021,0,12,2,0,17,23,13,0,2,61,0,87,217
Jammu & Kashmir,Cyber Crime Jammu,2021,0,0,2,0,16,0,0,0,0,0,0,0,18
Jammu & Kashmir,Cyber Crime Kashmir,2021,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Anti Narcotic Task Force Jammu,2021,3,0,0,0,0,0,0,0,0,0,0,0,3
Jammu & Kashmir,Anti Narcotic Task Force Kashmir,2021,11,0,0,0,0,0,0,0,0,0,0,0,11
Jammu & Kashmir,EOW Jammu,2021,4,0,0,0,0,0,0,0,0,0,0,0,4
Jammu & Kashmir,EOW Kashmir,2021,5,0,0,0,0,0,0,0,0,0,0,0,5
Jammu & Kashmir,CICE Jammu,2021,1,0,0,0,0,0,0,0,0,0,0,0,1
Jammu & Kashmir,CICE Kashmir,2021,3,0,0,0,0,0,0,0,0,0,0,0,3
